,Timestamp,Institution,Location,Subject Area,Review Date,URL,Rank,Appointment,Last Update,Notes,"Number
Applied","Mod
Flag",Notes,"Number
Applied",insti_ranking
795,7/15/2019 10:51,Aarhus University,Denmark,Biodiversity and Biological Conservation,8/15/2019,https://euraxess.ec.europa.eu/jobs/417472,Researcher or Asst Prof,Tenure Track,7/15/2019 10:53,"""focus on terrestrial coastal ecosystems, their biodiversity and the natural processes they depend on""",,FALSE,"""focus on terrestrial coastal ecosystems, their biodiversity and the natural processes they depend on""",,NA
822,7/6/2019 21:24,Aarhus University,Denmark,Evolutionary Genetics,11/1/2019,https://www.nature.com/naturecareers/job/professor-in-evolutionary-genetics-at-aarhus-university-denmark-aarhus-university-au-695683,Full Prof,Tenure Track,2/17/2020 12:38,"1)""Full professor. We seek an internationally competitive researcher with a strong and competitive academic track record in evolutionary genetics."" 2) Any news? 3) none here 1/13/2020 4) Weren't we supposed to be informed 6 weeks after deadline?",2,FALSE,"1)""Full professor. We seek an internationally competitive researcher with a strong and competitive academic track record in evolutionary genetics."" 2) Any news? 3) none here 1/13/2020 4) Weren't we supposed to be informed 6 weeks after deadline?",2,NA
867,7/2/2019 15:21,Aarhus University,Denmark,Molecular Environmental Microbiology,8/1/2019,https://www.nature.com/naturecareers/job?id=686271,Full Prof,Tenure Track,,,,FALSE,,,NA
868,7/2/2019 15:20,Aarhus University,Denmark,Applied Mammal Ecology,8/15/2019,https://www.nature.com/naturecareers/job/professor-in-applied-mammal-ecology-aarhus-university-au-686535,Full Prof,Tenure Track,,,1,FALSE,,1,NA
221,12/4/2019 19:03,Alabama A&M University ,Alabama,Forestry ,12/9/2019,https://aamu.interviewexchange.com/jobofferdetails.jsp?JOBID=82111&CNTRNO=1&TSTMP=1575482555736,Asst Prof,Tenure Track,12/5/2019 19:45,does anyone have any info on where this review date came from? the position posting says it's been posted since 2017?!?,,FALSE,does anyone have any info on where this review date came from? the position posting says it's been posted since 2017?!?,,NA
174,12/16/2019 19:18,Albert Einstein College of Medicine ,New York,Systems and Computational Biology,,https://www.nature.com/naturecareers/job/department-of-systems-and-computational-biology-tenure-track-faculty-position-albert-einstein-college-of-medicine-einstein-709299,Rank Open,Tenure Track,12/17/2019 20:04,"Just saw this one. Don't know when it closes or what rank they are hiring at. 2) (note, posting expires Dec 23, so maybe due then?) 3) Did anybody email them? Is the search still active? 4) Had letters requested 10/22, but heard nothing since then 5) Sounds like the deadline has long passed",2,FALSE,"Just saw this one. Don't know when it closes or what rank they are hiring at. 2) (note, posting expires Dec 23, so maybe due then?) 3) Did anybody email them? Is the search still active? 4) Had letters requested 10/22, but heard nothing since then 5) Sounds like the deadline has long passed",2,NA
200,12/8/2019 3:44,Elon University,North Carolina,Environmental Studies,12/1/2019,https://www.higheredjobs.com/faculty/details.cfm?JobCode=177108618,Asst Prof,Non-Tenure Track,1/16/2020 18:16,"I know the date is past, but this isn't a tenure-track position 2) Yes, it is a continuing assistant prof position, not tenure-track 3) What is the difference b/w the two? i.e., continuing track vs non-tenure? 4) what is the update on this? 5) No update yet as of 01/03. But, I also submitted a week after the deadline. So, I'm not sure my app is being considered. 6) No update as of 01/7, I think I wrote tenure track in my application and I am probably out. 7) Skype interviews are being scheduled 01/16",,FALSE,"I know the date is past, but this isn't a tenure-track position 2) Yes, it is a continuing assistant prof position, not tenure-track 3) What is the difference b/w the two? i.e., continuing track vs non-tenure? 4) what is the update on this? 5) No update yet as of 01/03. But, I also submitted a week after the deadline. So, I'm not sure my app is being considered. 6) No update as of 01/7, I think I wrote tenure track in my application and I am probably out. 7) Skype interviews are being scheduled 01/16",,Other
796,7/15/2019 10:48,Aristotle University of Thessaloniki,Europe (Other),Ecology and Conservation Biology,7/24/2019,https://euraxess.ec.europa.eu/jobs/424915,Full Prof,Tenure Track,,,,FALSE,,,NA
156,12/21/2019 13:33,Arizona State University,Arizona,Biology Education Research,1/19/2020,https://apply.interfolio.com/72056,Asst Prof,Tenure Track,2/5/2020 2:32,1) phone interview 1/31,,FALSE,1) phone interview 1/31,,NA
468,10/7/2019 12:02,Arizona State University,Arizona,Evolutionary Medicine,11/15/2019,https://apply.interfolio.com/69204,Rank Open,Tenure Track,1/11/2020 21:05,"""interest in using evolutionary biology to address questions about health and disease (...) Preference will be given to candidates who enhance the Center’s current strategic research efforts (the role of sex differences in reproduction and health outcome, processes that buffer non-industrial populations from cardiometabolic diseases, mechanisms of disease tolerance and resistance, and/or long-term coevolution of humans and pathogens), and/or lead a new team-based strategic initiative."" 2) Letters requested 11/25 3) Is this directly to the letter writers or to the applicant?  4) To the letter writters 5) Updates? (6) Nothing here (Jan/8) 7) Invited for on-campus interview 1/10/20",10,FALSE,"""interest in using evolutionary biology to address questions about health and disease (...) Preference will be given to candidates who enhance the Center’s current strategic research efforts (the role of sex differences in reproduction and health outcome, processes that buffer non-industrial populations from cardiometabolic diseases, mechanisms of disease tolerance and resistance, and/or long-term coevolution of humans and pathogens), and/or lead a new team-based strategic initiative."" 2) Letters requested 11/25 3) Is this directly to the letter writers or to the applicant?  4) To the letter writters 5) Updates? (6) Nothing here (Jan/8) 7) Invited for on-campus interview 1/10/20",10,NA
469,10/7/2019 11:56,Arizona State University,Arizona,Mechanisms of Evolution,11/16/2019,https://apply.interfolio.com/69482,Rank Open,Tenure Track,12/17/2019 22:27,"""Interest and training in understanding the mechanisms of evolution at the cellular and/or population-genetic levels"" 2) Any news? 3) after two weekdays? 4) Any letter requests? 5) no 6) Yes, some letters requested in late November 7) on-sight interview request",10,FALSE,"""Interest and training in understanding the mechanisms of evolution at the cellular and/or population-genetic levels"" 2) Any news? 3) after two weekdays? 4) Any letter requests? 5) no 6) Yes, some letters requested in late November 7) on-sight interview request",10,NA
493,10/3/2019 0:09,Arizona State University,Arizona,Evolution and Biophysics,11/20/2019,https://www.nature.com/naturecareers/job/open-rank-professor-in-evolution-and-biophysics-arizona-state-university-asu-707383,Rank Open,Tenure Track,1/3/2020 4:58,Has anybody applied for this? 2) Any news?,,FALSE,Has anybody applied for this? 2) Any news?,,NA
592,9/13/2019 22:46,Arizona State University ,Arizona,Spatial Ecology ,10/18/2019,https://gdcs.asu.edu/job-openings,Asst Prof,Tenure Track,1/23/2020 0:51,1) Skype interview request 11/2/2019 x5 2) on campus interview request 11/19/2019 x2 3) Any news? 4) offer accepted 1/22/20,8,FALSE,1) Skype interview request 11/2/2019 x5 2) on campus interview request 11/19/2019 x2 3) Any news? 4) offer accepted 1/22/20,8,NA
400,10/21/2019 22:18,Arkansas State University,Arkansas,Chair of Biological Sciences,12/14/2019,https://cho.tbe.taleo.net/cho01/ats/careers/v2/viewRequisition?org=ARKASTAT2&cws=40&rid=24948,Rank Open,Tenure Track,,,,FALSE,,,NA
502,10/1/2019 19:58,Arkansas State University - Jonesboro,Arkansas,Disease in Nature (Widely interpreted),11/5/2019,https://cho.tbe.taleo.net/cho01/ats/careers/v2/viewRequisition?org=ARKASTAT2&cws=40&rid=24898%20,Asst / Assoc Prof,Tenure Track,12/16/2019 14:04,"Cluster hire of 3 positions with emphasis on ""Disease in Nature"". Of particular interest are candidates who have developed research programs related to any of the following: pathogenic diseases; epidemiology of diseases in natural systems; animal (including human) or plant microbiome; pathogen-host or symbiont-host interactions; plant pathogens, forest diseases, or invasive insects; or ecosystem stressors that influence disease. We also encourage applications from candidates who have developed exceptional research programs outside of the areas specified, but still within the Disease in Nature theme. NOTE: This is NOT a disease ecologist specific position and applicants should have a connection to disease, but it can be interpreted loosely. 2) I don't work here but have visited. Nice place and great department with talented graduate students. 3) I worked here as a postdoc and absolutely loved it. The department is great and Arkansas is really beautiful. 4) Any News? 5) None here (11/15) x8 still nothing (11/20) x3 6) Phone interview requested (11/21) x5 7) are any of the invitees working on birds or mammals? 8) @7 primarily reptiles but some work with lab mice 9) out of curiousity - others who were invited for phone interviews, were your letters requested beforehand? 10) I don't think mine were contacted. x3 11) Anyone invited for on-campus yet? 12) Invited for on-campus interview 12-Dec (x3)",13,FALSE,"Cluster hire of 3 positions with emphasis on ""Disease in Nature"". Of particular interest are candidates who have developed research programs related to any of the following: pathogenic diseases; epidemiology of diseases in natural systems; animal (including human) or plant microbiome; pathogen-host or symbiont-host interactions; plant pathogens, forest diseases, or invasive insects; or ecosystem stressors that influence disease. We also encourage applications from candidates who have developed exceptional research programs outside of the areas specified, but still within the Disease in Nature theme. NOTE: This is NOT a disease ecologist specific position and applicants should have a connection to disease, but it can be interpreted loosely. 2) I don't work here but have visited. Nice place and great department with talented graduate students. 3) I worked here as a postdoc and absolutely loved it. The department is great and Arkansas is really beautiful. 4) Any News? 5) None here (11/15) x8 still nothing (11/20) x3 6) Phone interview requested (11/21) x5 7) are any of the invitees working on birds or mammals? 8) @7 primarily reptiles but some work with lab mice 9) out of curiousity - others who were invited for phone interviews, were your letters requested beforehand? 10) I don't think mine were contacted. x3 11) Anyone invited for on-campus yet? 12) Invited for on-campus interview 12-Dec (x3)",13,NA
130,1/6/2020 15:45,Auburn University Montgomery,Alabama,Remote Sensing,2/15/2020,https://www.jobs.aum.edu/postings/4033,Asst Prof,Tenure Track,1/22/2020 1:01,"
",,FALSE,"
",,NA
6,2/21/2020 12:47,Auckland University of Technology,New Zealand,Global Change Ecology,3/13/2020,https://www.timeshighereducation.com/unijobs/listing/197182/lecturer-senior-lecturer-ecosystem-global-change-ecology,Lecturer / Senior Lecturer,Tenure Track,,,,FALSE,,,NA
27,2/14/2020 21:22,Autonomous University of Barcelona,Spain,Entomology,4/7/2020,https://euraxess.ec.europa.eu/jobs/492606,Rank Open,Tenure Track,,,,FALSE,,,NA
356,10/29/2019 9:44,Bangor University,United Kingdom,Marine Biology / Ecology,11/18/2019,https://jobs.bangor.ac.uk/details.php.en?id=QLYFK026203F3VBQB7V68LOTX&nPostingID=4542&nPostingTargetID=4886&mask=stdext&lg=UK ,Lecturer (Teaching & Research),Tenure Track,12/19/2019 12:44,"Repeat 2) Not a repeat. This is a different position than the one below (the one below is teaching-focused, this one is research focused). not necessary to take two lines  2) they have different job numbers and different requirements 4) I was invited for an interview (on campus or Skype, whichever possible) conducted on 16 December.",4,FALSE,"Repeat 2) Not a repeat. This is a different position than the one below (the one below is teaching-focused, this one is research focused). not necessary to take two lines  2) they have different job numbers and different requirements 4) I was invited for an interview (on campus or Skype, whichever possible) conducted on 16 December.",4,NA
358,10/28/2019 19:55,Bangor University,United Kingdom,Marine Biology / Ecology,12/2/2019,https://jobs.bangor.ac.uk/details.php.en?id=QLYFK026203F3VBQB7V68LOTX&nPostingID=4566&nPostingTargetID=4904&mask=stdext&lg=UK,Lecturer (Teaching & Scholarship),Tenure Track,10/29/2019 9:42,2 positions. 2) Where do you see 2 positions??? 3) The link goes to the teaching-focused position. I've added the research focused position as a different entry.,1,FALSE,2 positions. 2) Where do you see 2 positions??? 3) The link goes to the teaching-focused position. I've added the research focused position as a different entry.,1,NA
729,8/12/2019 13:33,"Barnard College, Columbia University",New York,Organismal Biology / Physiology,10/1/2019,https://careers.barnard.edu/postings/4569,Lecturer,Tenure Track,1/28/2020 15:19,Lecturers at Barnard are intended to be permanent career positions. 1) Does this position have any research component? 2) Not officially. This is a teaching focused position. 3) Letters requested 10/21 x4 4) Zoom interview 11/22 5) campus invite 6) Zoom interview 1/27,3,FALSE,Lecturers at Barnard are intended to be permanent career positions. 1) Does this position have any research component? 2) Not officially. This is a teaching focused position. 3) Letters requested 10/21 x4 4) Zoom interview 11/22 5) campus invite 6) Zoom interview 1/27,3,NA
607,9/11/2019 21:56,Brigham Young University,Utah,Vertebrate Biology,10/11/2019,https://www.linkedin.com/jobs/view/vertebrate-biology-faculty-position-83241-at-brigham-young-university-1467295577/,Asst Prof,Tenure Track,11/29/2019 22:11,"""focus on systematics, evolution, or ecology of vertebrates. The successful applicant will be appointed curator in one of the four vertebrate research collections (fishes, reptiles / amphibians, birds or mammals) in the Monte L. Bean Life Sciences Museum. Preference is given to qualified candidates who are members in good standing of the affiliated church, The Church of Jesus Christ of Latter-day Saints.."" 2) Try to negotiate a beard card if you get an offer. 3) tempted to apply and break the ""honor code"" by having > 1 earing per ear and a skirt above the knee....  4) letters requested 10/17, had phone interview 11/1, invited for campus interview 11/22",2,FALSE,"""focus on systematics, evolution, or ecology of vertebrates. The successful applicant will be appointed curator in one of the four vertebrate research collections (fishes, reptiles / amphibians, birds or mammals) in the Monte L. Bean Life Sciences Museum. Preference is given to qualified candidates who are members in good standing of the affiliated church, The Church of Jesus Christ of Latter-day Saints.."" 2) Try to negotiate a beard card if you get an offer. 3) tempted to apply and break the ""honor code"" by having > 1 earing per ear and a skirt above the knee....  4) letters requested 10/17, had phone interview 11/1, invited for campus interview 11/22",2,NA
171,12/17/2019 16:42,Cal Poly San Luis Obispo,California,Soil Science & Restoration Ecology,1/31/2020,https://jobs.calpoly.edu/sl/en-us/job/494740/assistant-associate-full-professor-of-soil-science-and-restoration-ecology,Rank Open,Tenure Track,2/18/2020 3:57,"Scholarship should include the field of soil science, restoration ecology, and the interaction between social and biophysical systems at the landscape scale. Some potential areas of specialization may include restoration/conservation/landscape ecology, soil remediation, and land management that connect terrestrial and hydrological systems with social systems. Research experience related to conservation and planning of natural areas, managed landscapes, and protected areas at landscape scales and geospatial analysis skills that connects biophysical and social datasets are preferred. Hiring at any level dependent on experience. 2) seems like this dept has had a bit of turnover in the past few years - anyone have any insight? 3) @2 I know someone who was there and left, but it was because her partner got a job in the midwest with a spousal hire 4) Word on the street is that the job description was written for an internal candidate 5) I do not think that is correct. It is an open call. 6) Zoom interview requested",1,FALSE,"Scholarship should include the field of soil science, restoration ecology, and the interaction between social and biophysical systems at the landscape scale. Some potential areas of specialization may include restoration/conservation/landscape ecology, soil remediation, and land management that connect terrestrial and hydrological systems with social systems. Research experience related to conservation and planning of natural areas, managed landscapes, and protected areas at landscape scales and geospatial analysis skills that connects biophysical and social datasets are preferred. Hiring at any level dependent on experience. 2) seems like this dept has had a bit of turnover in the past few years - anyone have any insight? 3) @2 I know someone who was there and left, but it was because her partner got a job in the midwest with a spousal hire 4) Word on the street is that the job description was written for an internal candidate 5) I do not think that is correct. It is an open call. 6) Zoom interview requested",1,NA
448,10/11/2019 18:33,Cal State Chico,California,Microbiology,11/4/2019,https://jobs.csuchico.edu/postings/5783,Asst / Assoc Prof,Tenure Track,11/17/2019 0:56,"contacted for phone interview 5-Nov (X2) 2) Just wondering, were the people contacted immed. for a phone interview on the short list from last yrs. search? 3) I was contacted for phone interview but did not apply last year 4) I was contacted for phone interview and also had a phone interview last year 5) contacted for an in-person interview Nov 15",2,FALSE,"contacted for phone interview 5-Nov (X2) 2) Just wondering, were the people contacted immed. for a phone interview on the short list from last yrs. search? 3) I was contacted for phone interview but did not apply last year 4) I was contacted for phone interview and also had a phone interview last year 5) contacted for an in-person interview Nov 15",2,NA
218,12/5/2019 15:30,High Point University,North Carolina,Environmental Studies,12/1/2019,https://www.higheredjobs.com/details.cfm?JobCode=177148598&utm_source=11_17_19&utm_medium=email&utm_campaign=JobAgentEmail,Asst Prof,Tenure Track,2/22/2020 21:10,"Skype interview requested (1/9/20) 2) Any updates here?  Posting is still live on their website, now with no application deadline",3,FALSE,"Skype interview requested (1/9/20) 2) Any updates here?  Posting is still live on their website, now with no application deadline",3,Other
153,12/21/2019 20:54,California State University - Sacramento,California,Mammalian Physiology,2/1/2020,https://csus.peopleadmin.com/postings/4758,Asst Prof,Tenure Track,2/23/2020 22:55,Applications should outline in their letters how they will build a research program at a PUI and practice inclusivity excellence in teaching and scholarly activities. We are a congenial department and seek similar colleagues. 2) News on the search? 3) None here,2,FALSE,Applications should outline in their letters how they will build a research program at a PUI and practice inclusivity excellence in teaching and scholarly activities. We are a congenial department and seek similar colleagues. 2) News on the search? 3) None here,2,NA
272,11/19/2019 15:52,California State University - Sacramento,California,Environmental Studies,1/15/2020,https://csus.peopleadmin.com/postings/4696,Asst Prof,Tenure Track,2/19/2020 17:49,"Per Search Committee Chair, portfolio should include a research and a teaching statement. 2) Thanks #1! 3) Got a confirmation email today that online interviews will happen in 2-3 weeks. x2 4) Would also like to add that I really appreciated the committee chair communicating with all applicants to summarize how the process will proceed, I don't feel like this happens often. x2 5) Applied, but did not receive that email; (2) did you receive an interview request? 6) #2 again. No, it wasn't an interview request. Just an email confirming the receipt of my materials and that if selected, candidates may expect to hear in 2-3 weeks. I agree with #4, I really appreciated the SC chair sending the email. 7) any update? 8) zoom interview requested 2/6 9) updates?",4,FALSE,"Per Search Committee Chair, portfolio should include a research and a teaching statement. 2) Thanks #1! 3) Got a confirmation email today that online interviews will happen in 2-3 weeks. x2 4) Would also like to add that I really appreciated the committee chair communicating with all applicants to summarize how the process will proceed, I don't feel like this happens often. x2 5) Applied, but did not receive that email; (2) did you receive an interview request? 6) #2 again. No, it wasn't an interview request. Just an email confirming the receipt of my materials and that if selected, candidates may expect to hear in 2-3 weeks. I agree with #4, I really appreciated the SC chair sending the email. 7) any update? 8) zoom interview requested 2/6 9) updates?",4,NA
709,8/21/2019 1:02,California State University Bakersfield,California,Virologist / Parasitologist,9/30/2019,https://www.csub.edu/facultyaffairs/_files/TT-BIOL-2020.pdf,Asst Prof,Tenure Track,10/18/2019 20:14,Phone interview scheduled 10/17,4,FALSE,Phone interview scheduled 10/17,4,NA
222,12/4/2019 17:12,Santa Rosa Junior College,California,Biological Sciences,1/13/2020,https://hr.santarosa.edu/current-openings,Instructor,Tenure Track,2/9/2020 18:11,"1) this is a teaching position with no research expected. 2) instructor expected to teach at least 2 of cell/molecular biology, human physiology, and/or microbiology 3) Two professors have left that were hired a few years ago.  A colleague who knows many in the department said it is a nightmare place to work. the former department chair was inept and one facult member's tenure was sabotaged and is currentyl suing the college. Be very careful about applyng/accepting a job here. 4) Looks like they are hiring three positions. 5) Can confirm. I taught there briefly. The two old department chairs were very incompetent and left no room for independent thought. The current dean does everything he can to kow tow to the VP and Presdient. The fculty voted no confidence for the current president and two VPs were fired. One former faculty member is suing the college and individuals because they solicited student complaints to justify not giving him tenure becuase he blew the whistle on illicit actvity by some tenured members of the department. He's suig them for several million dollars, 6) Unsure about the BIO department and the problems there. Sounds shady. Can give loads of positives about the JC and SR in general. My dad was a faculty in the Math department for his career, and absolutley loved it. He had a really strong work community, and things seemed fairly smooth with politics, etc. Santa Rosa is a great town and an awesome place to grow up/raise a family. If they sort out the issues in BIO, would probably be a good position for someone looking for a CC/JC career. 7) I can second that SRJC at least used to be a great place to be a student. The training I received there inspired me to be an academic ecologist. SRJC has a transfer agreement with the CSU and UCs. This was really a great school, and I hope it still is. X3 8) The school was great but the current president has been very bad. The biology department has some very bad people in it and a few good ones. 9) First round of interview invites sent out 2/4",2,FALSE,"1) this is a teaching position with no research expected. 2) instructor expected to teach at least 2 of cell/molecular biology, human physiology, and/or microbiology 3) Two professors have left that were hired a few years ago.  A colleague who knows many in the department said it is a nightmare place to work. the former department chair was inept and one facult member's tenure was sabotaged and is currentyl suing the college. Be very careful about applyng/accepting a job here. 4) Looks like they are hiring three positions. 5) Can confirm. I taught there briefly. The two old department chairs were very incompetent and left no room for independent thought. The current dean does everything he can to kow tow to the VP and Presdient. The fculty voted no confidence for the current president and two VPs were fired. One former faculty member is suing the college and individuals because they solicited student complaints to justify not giving him tenure becuase he blew the whistle on illicit actvity by some tenured members of the department. He's suig them for several million dollars, 6) Unsure about the BIO department and the problems there. Sounds shady. Can give loads of positives about the JC and SR in general. My dad was a faculty in the Math department for his career, and absolutley loved it. He had a really strong work community, and things seemed fairly smooth with politics, etc. Santa Rosa is a great town and an awesome place to grow up/raise a family. If they sort out the issues in BIO, would probably be a good position for someone looking for a CC/JC career. 7) I can second that SRJC at least used to be a great place to be a student. The training I received there inspired me to be an academic ecologist. SRJC has a transfer agreement with the CSU and UCs. This was really a great school, and I hope it still is. X3 8) The school was great but the current president has been very bad. The biology department has some very bad people in it and a few good ones. 9) First round of interview invites sent out 2/4",2,Other
712,8/17/2019 1:02,California State University Dominguez Hills,California,Ecology (climate change or urban),10/1/2019,https://www.csudh.edu/hr/job-opportunities/,Asst Prof,Tenure Track,1/23/2020 17:40,"URL fixed. 2) not really 3) https://cmshr.csudh.edu/psc/HDHPRD/EMPLOYEE/HRMS/c/HRS_HRS.HRS_APP_SCHJOB.GBL?Page=HRS_APP_SCHJOB&Action=U&TargetFrameName=None 4) nothing works lol 5) Go to: https://www.csudh.edu/hr/job-opportunities/ Scroll down to ""new & returning applicants"" and click the search button below it. Enter ""ecology"" as a keyword search, and there's one listing. 5) CSU needs to update this system! 6) This application system is beyond terrible and probably the worst I've ever encountered. 7) Am I missing where to submit other documents? I am only able to attach my CV? 8) @ 7, just now taking a look at the application portal. My best guess is the ""upload resume"" that you do before putting in personal info is where you upload the single PDF containing all application materials they ask for in the job ad. On second look, if you fill out the questionaire and save/close the application, there's an option to add attachments. Maybe that's where it goes? 9) @8 you are correct, emailed the chair today, they want everything submitted as a single PDF 10) (8 again) @9, thanks for confirming w/ search chair. Did they say whether the PDF should be uploaded as the ""resume"" file on the first page of the portal or as an attachment on the last page of the portal? 11) @10 I wasn't aware that you could attach files after submission, so did not ask but per chair ""You will need to upload a single PDF of all the documents."", I would imagine uploading where it asks for the resume would be ok? 12) @8 I heard back from the chair that the single PDF of all the documents should be uploaded where it asks for the resume. 12) From the committee: if you made a mistake in uploading, go ahead and resubmit a correct version. We will deal with the duplicate applications on our end. 13) awesome, thanks for clarifying! 14) What did people answer for the Q about ""will you be able to get a work permit if you are under 16 or not a US citizen"" Yes or No. What if you're over 16 and a US citizen. Which answer is N/A? 15) Invited for Zoom interview x 4 16) Congrats to those getting interviews! Out of curiosity, is your teaching experience pretty substantial? ex) been instructor of record for undergrad course(s)? 17)  @16 For me, no, I have a ton of ""extra-curricular"" teaching but have never been the instructor of record 18) Any news about campus interviews yet? 19) @ 17 Thanks! 20)  Hmmm, the interviewees should be announced by now?  Anyone? 20) on campus interview requested 21) @ 20, congrats! thanks for posting. @16, I gave the response in (17) and am not being interviewed, so teaching probably ended up being important.  Sigh. 22) @ 21/17, Sorry to hear that, but thanks for following up. I hope your next app goes further! ",21,FALSE,"URL fixed. 2) not really 3) https://cmshr.csudh.edu/psc/HDHPRD/EMPLOYEE/HRMS/c/HRS_HRS.HRS_APP_SCHJOB.GBL?Page=HRS_APP_SCHJOB&Action=U&TargetFrameName=None 4) nothing works lol 5) Go to: https://www.csudh.edu/hr/job-opportunities/ Scroll down to ""new & returning applicants"" and click the search button below it. Enter ""ecology"" as a keyword search, and there's one listing. 5) CSU needs to update this system! 6) This application system is beyond terrible and probably the worst I've ever encountered. 7) Am I missing where to submit other documents? I am only able to attach my CV? 8) @ 7, just now taking a look at the application portal. My best guess is the ""upload resume"" that you do before putting in personal info is where you upload the single PDF containing all application materials they ask for in the job ad. On second look, if you fill out the questionaire and save/close the application, there's an option to add attachments. Maybe that's where it goes? 9) @8 you are correct, emailed the chair today, they want everything submitted as a single PDF 10) (8 again) @9, thanks for confirming w/ search chair. Did they say whether the PDF should be uploaded as the ""resume"" file on the first page of the portal or as an attachment on the last page of the portal? 11) @10 I wasn't aware that you could attach files after submission, so did not ask but per chair ""You will need to upload a single PDF of all the documents."", I would imagine uploading where it asks for the resume would be ok? 12) @8 I heard back from the chair that the single PDF of all the documents should be uploaded where it asks for the resume. 12) From the committee: if you made a mistake in uploading, go ahead and resubmit a correct version. We will deal with the duplicate applications on our end. 13) awesome, thanks for clarifying! 14) What did people answer for the Q about ""will you be able to get a work permit if you are under 16 or not a US citizen"" Yes or No. What if you're over 16 and a US citizen. Which answer is N/A? 15) Invited for Zoom interview x 4 16) Congrats to those getting interviews! Out of curiosity, is your teaching experience pretty substantial? ex) been instructor of record for undergrad course(s)? 17)  @16 For me, no, I have a ton of ""extra-curricular"" teaching but have never been the instructor of record 18) Any news about campus interviews yet? 19) @ 17 Thanks! 20)  Hmmm, the interviewees should be announced by now?  Anyone? 20) on campus interview requested 21) @ 20, congrats! thanks for posting. @16, I gave the response in (17) and am not being interviewed, so teaching probably ended up being important.  Sigh. 22) @ 21/17, Sorry to hear that, but thanks for following up. I hope your next app goes further! ",21,NA
304,11/8/2019 20:07,California State University Monterey Bay ,California,Evolutionary Biology and Population Genetics,1/20/2020,https://csumb.peopleadmin.com/postings/5533,Asst Prof,Tenure Track,2/11/2020 19:38,"
Any news? (02/08). Nothing for me (2/10) x3. Just got an email for first-round zoom interview 2/10. x3",13,FALSE,"
Any news? (02/08). Nothing for me (2/10) x3. Just got an email for first-round zoom interview 2/10. x3",13,NA
